Model,Accuracy,CV Accuracy,CV Std,Precision,Recall,F1-Score,Train Time (s),Inference Time (s),Saved_at,Training dataset name,ROC-AUC,Num samples in dataset,Note,Ablation Group,Ablation Name,Ablation Mode,Parent Feature Dataset
Ablation meta model (Logistic Regression),0.9884651356125947,0.9884651564651564,0.0018986723586669,0.9841513292433538,0.9968928016571724,0.9904810908155388,0.326,0.002,2026-06-03 20-41-01,data/results/stacker_training_features.csv,0.9933710848467066,9623.0,meta_model_rich_intrinsic_and_tranco_lr; sklearn v1.8.0,rich,intrinsic_and_tranco,strict,data/results/stacker_training_features.csv
Ablation meta model (Gradient Boosting),0.9928296788943156,0.992829872829873,0.0014084560707295,0.9912461380020596,0.9968928016571724,0.9940614510715208,7.733,0.013,2026-06-03 20-41-09,data/results/stacker_training_features.csv,0.9964469813437392,9623.0,meta_model_rich_intrinsic_and_tranco_gb; sklearn v1.8.0,rich,intrinsic_and_tranco,strict,data/results/stacker_training_features.csv
Ablation meta model (Support Vector Machine),0.9892964771900654,0.9894004374004371,0.0016621035093728,0.9845027247956404,0.9979285344381148,0.991170167166738,8.146,0.233,2026-06-03 20-41-17,data/results/stacker_training_features.csv,0.9885964378544556,9623.0,meta_model_rich_intrinsic_and_tranco_svm; sklearn v1.8.0,rich,intrinsic_and_tranco,strict,data/results/stacker_training_features.csv
Ablation meta model (Multi-layer Perceptron),0.9887768887041464,0.9887770607770608,0.0015257807289736,0.9836651352730984,0.9979285344381148,0.990745501285347,11.766,0.007,2026-06-03 20-41-29,data/results/stacker_training_features.csv,0.9941833553505424,9623.0,meta_model_rich_intrinsic_and_tranco_mlp; sklearn v1.8.0,rich,intrinsic_and_tranco,strict,data/results/stacker_training_features.csv
Ablation meta model (Decision Tree),0.9890886417956978,0.9890889650889648,0.001996994448844,0.9910220994475138,0.9908510271016744,0.9909365558912386,0.407,0.003,2026-06-03 20-41-29,data/results/stacker_training_features.csv,0.98863700180149,9623.0,meta_model_rich_intrinsic_and_tranco_dt; sklearn v1.8.0,rich,intrinsic_and_tranco,strict,data/results/stacker_training_features.csv
Ablation meta model (Logistic Regression),0.9862828639717344,0.9862828522828522,0.0020413722657029,0.9795019481619516,0.998101156568272,0.9887140902872776,0.323,0.004,2026-06-03 20-41-30,data/results/stacker_training_features.csv,0.9874169509523288,9623.0,meta_model_rich_extrinsic_lr; sklearn v1.8.0,rich,extrinsic,strict,data/results/stacker_training_features.csv
Ablation meta model (Gradient Boosting),0.9924140081055804,0.9924139104139104,0.0014919508935379,0.9920853406744666,0.9953392024857588,0.9937096079276174,5.549,0.011,2026-06-03 20-41-35,data/results/stacker_training_features.csv,0.9961211627069492,9623.0,meta_model_rich_extrinsic_gb; sklearn v1.8.0,rich,extrinsic,strict,data/results/stacker_training_features.csv
Ablation meta model (Support Vector Machine),0.9863867816689182,0.9856594756594756,0.0022421383873891,0.980971797485559,0.9967201795270154,0.9887832862402604,11.756,0.261,2026-06-03 20-41-47,data/results/stacker_training_features.csv,0.9895432229137624,9623.0,meta_model_rich_extrinsic_svm; sklearn v1.8.0,rich,extrinsic,strict,data/results/stacker_training_features.csv
Ablation meta model (Multi-layer Perceptron),0.9862828639717344,0.9862830142830143,0.0019315947907076,0.979989825334916,0.9975832901778008,0.9887082976903336,9.884,0.006,2026-06-03 20-41-57,data/results/stacker_training_features.csv,0.9877601670152912,9623.0,meta_model_rich_extrinsic_mlp; sklearn v1.8.0,rich,extrinsic,strict,data/results/stacker_training_features.csv
Ablation meta model (Decision Tree),0.9929335965914996,0.992933390933391,0.0013398534444739,0.9958427160921532,0.9924046262730882,0.9941206985993428,0.227,0.002,2026-06-03 20-41-58,data/results/stacker_training_features.csv,0.992829804044586,9623.0,meta_model_rich_extrinsic_dt; sklearn v1.8.0,rich,extrinsic,strict,data/results/stacker_training_features.csv
Ablation meta model (Logistic Regression),0.5813155980463472,0.5813152253152254,0.0024637745424263,0.6100848726909636,0.8437769722078371,0.7081492212966316,0.149,0.002,2026-06-03 20-44-06,data/results/stacker_training_features.csv,0.4571723593659224,9623.0,meta_model_richops_intrinsic_only_lr; sklearn v1.8.0,richops,intrinsic_only,operational,data/results/stacker_training_features.csv
Ablation meta model (Gradient Boosting),0.8306141535903564,0.8306133326133326,0.005892627308379,0.820378636293674,0.9200759537372692,0.8673718470301057,5.753,0.011,2026-06-03 20-44-12,data/results/stacker_training_features.csv,0.8890892222043442,9623.0,meta_model_richops_intrinsic_only_gb; sklearn v1.8.0,richops,intrinsic_only,operational,data/results/stacker_training_features.csv
